,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,Load_Type
78,3.96,0.0,20.88,0.0,100.0,18.63,0
79,3.56,0.0,17.35,0.0,100.0,20.1,0
80,4.03,0.0,22.54,0.0,100.0,17.6,0
81,3.74,0.0,19.55,0.0,100.0,18.79,0
82,3.56,0.0,17.42,0.0,100.0,20.02,0
83,4.21,0.0,24.26,0.0,100.0,17.1,0
84,3.56,0.0,17.75,0.0,100.0,19.66,0
85,3.53,0.0,17.42,0.0,100.0,19.86,0
86,4.25,0.0,25.2,0.0,100.0,16.63,0
87,3.53,0.0,17.5,0.0,100.0,19.77,0
88,3.56,1.44,10.08,0.0,92.7,33.3,0
89,3.67,4.21,0.0,0.0,65.71,100.0,0
90,3.24,3.35,0.0,0.0,69.52,100.0,0
91,3.53,3.74,0.0,0.0,68.64,100.0,0
92,3.53,3.42,0.0,0.0,71.82,100.0,0
93,3.24,2.95,0.0,0.0,73.94,100.0,0
94,3.67,3.96,0.0,0.0,67.97,100.0,0
95,3.42,3.46,0.0,0.0,70.3,100.0,0
96,3.2,3.1,0.0,0.0,71.82,100.0,0
97,3.85,4.61,0.0,0.0,64.1,100.0,0
98,3.28,3.67,0.0,0.0,66.64,100.0,0
99,3.35,3.6,0.0,0.0,68.12,100.0,0
100,3.89,4.72,0.0,0.0,63.6,100.0,0
101,3.28,3.53,0.0,0.0,68.07,100.0,0
102,3.46,3.96,0.0,0.0,65.8,100.0,0
103,3.78,4.82,0.0,0.0,61.71,100.0,0
104,3.31,3.53,0.0,0.0,68.4,100.0,0
105,3.6,4.36,0.0,0.0,63.67,100.0,0
106,3.64,4.39,0.0,0.0,63.83,100.0,0
107,3.28,3.71,0.0,0.0,66.24,100.0,0
108,3.71,4.57,0.0,0.0,63.03,100.0,0
109,3.56,4.03,0.0,0.0,66.21,100.0,0
110,3.24,3.49,0.0,0.0,68.04,100.0,0
111,3.89,4.64,0.0,0.0,64.25,100.0,0
112,3.28,3.42,0.0,0.0,69.22,100.0,0
113,3.28,3.49,0.0,0.0,68.48,100.0,0
114,3.96,4.68,0.0,0.0,64.59,100.0,0
115,3.24,3.42,0.0,0.0,68.77,100.0,0
116,3.46,3.78,0.0,0.0,67.52,100.0,0
117,3.67,4.07,0.0,0.0,66.97,100.0,0
118,3.24,3.42,0.0,0.0,68.77,100.0,0
119,3.67,3.96,0.0,0.0,67.97,100.0,0
120,3.53,3.78,0.0,0.0,68.25,100.0,0
121,3.2,3.24,0.0,0.0,70.27,100.0,0
122,3.78,4.07,0.0,0.0,68.05,100.0,0
123,3.35,3.35,0.0,0.0,70.71,100.0,0
124,3.53,3.49,0.0,0.0,71.11,100.0,0
125,6.3,4.57,0.0,0.0,80.95,100.0,0
126,6.05,4.79,0.0,0.0,78.4,100.0,0
127,6.73,4.54,0.0,0.0,82.9,100.0,0
128,29.02,18.83,0.07,0.0,83.89,100.0,0
129,46.19,28.66,0.0,0.0,84.97,100.0,0
130,52.06,35.32,0.0,0.0,82.75,100.0,0
131,56.2,12.53,0.11,0.0,97.6,100.0,0
132,56.84,8.32,0.0,0.0,98.95,100.0,2
133,51.26,4.54,0.94,0.0,99.61,99.98,2
134,48.13,2.34,1.15,0.0,99.88,99.97,2
135,52.81,7.06,0.54,0.0,99.12,99.99,2
136,54.79,7.52,0.14,0.0,99.07,100.0,1
137,53.21,8.35,0.11,0.0,98.79,100.0,1
138,80.21,32.4,0.0,0.0,92.72,100.0,1
139,77.58,25.49,0.0,0.0,95.0,100.0,1
140,128.52,70.85,0.0,0.0,87.57,100.0,1
141,144.47,78.48,0.0,0.0,87.87,100.0,1
142,90.86,54.29,0.0,0.0,85.84,100.0,1
143,123.3,66.06,0.0,0.0,88.15,100.0,1
144,19.22,5.54,18.9,0.0,96.09,71.3,2
145,8.46,0.0,25.92,0.0,100.0,31.03,2
146,8.24,0.0,25.34,0.0,100.0,30.92,2
147,8.03,0.0,25.49,0.0,100.0,30.05,2
148,79.67,27.29,6.52,0.0,94.6,99.67,2
149,97.85,46.8,0.0,0.0,90.21,100.0,2
150,124.45,49.79,0.0,0.0,92.85,100.0,2
151,108.61,43.34,0.0,0.0,92.88,100.0,2
152,123.12,55.26,0.0,0.0,91.23,100.0,2
153,129.1,53.5,0.0,0.0,92.38,100.0,2
154,82.08,27.58,0.0,0.0,94.79,100.0,2
155,143.89,60.91,0.0,0.0,92.09,100.0,2
156,86.9,34.27,0.0,0.0,93.03,100.0,2
157,141.44,62.57,0.0,0.0,91.45,100.0,2
158,116.53,52.88,0.0,0.0,91.06,100.0,2
159,129.31,61.16,0.0,0.0,90.4,100.0,2
160,136.44,56.77,0.0,0.0,92.33,100.0,2
161,85.72,34.85,0.0,0.0,92.64,100.0,2
162,147.46,65.27,0.0,0.0,91.44,100.0,2
163,86.94,30.78,0.0,0.0,94.27,100.0,2
164,67.25,25.81,0.0,0.0,93.36,100.0,1
165,115.78,50.04,0.0,0.0,91.79,100.0,1
166,113.11,34.63,0.0,0.0,95.62,100.0,1
167,76.75,11.74,1.04,0.0,98.85,99.99,1
168,41.9,15.23,0.14,0.0,93.98,100.0,1
169,37.4,19.94,0.0,0.0,88.24,100.0,1
170,40.25,8.82,0.5,0.0,97.68,99.99,1
171,34.92,1.98,1.58,0.0,99.84,99.9,1
172,41.36,6.44,0.43,0.0,98.81,99.99,1
173,35.96,2.52,1.37,0.0,99.76,99.93,1
174,39.42,5.29,0.47,0.0,99.11,99.99,1
175,38.16,4.68,0.5,0.0,99.26,99.99,1
176,33.23,1.51,3.96,0.0,99.9,99.3,2
177,25.88,0.0,12.13,0.0,100.0,90.55,2
178,10.84,0.0,23.22,0.0,100.0,42.3,2
179,9.29,0.0,23.51,0.0,100.0,36.75,2
180,6.98,0.0,25.16,0.0,100.0,26.73,2
181,5.11,0.0,26.5,0.0,100.0,18.93,2
182,5.08,0.0,26.42,0.0,100.0,18.88,2
183,5.04,0.0,26.46,0.0,100.0,18.71,2
184,4.93,1.84,15.44,0.0,93.69,30.42,1
185,4.64,5.22,0.0,0.0,66.44,100.0,1
186,4.68,5.18,0.0,0.0,67.04,100.0,1
187,4.68,5.11,0.0,0.0,67.54,100.0,1
188,4.57,4.54,0.0,0.0,70.94,100.0,0
189,4.57,4.25,0.0,0.0,73.23,100.0,0
190,4.54,4.25,0.0,0.0,73.0,100.0,0
191,4.61,4.21,0.0,0.0,73.84,100.0,0
192,4.61,4.61,0.0,0.0,70.71,100.0,0
193,4.61,4.54,0.0,0.0,71.25,100.0,0
194,4.57,4.5,0.0,0.0,71.25,100.0,0
195,4.57,4.61,0.0,0.0,70.4,100.0,0
196,4.64,4.46,0.0,0.0,72.1,100.0,0
197,4.64,4.57,0.0,0.0,71.25,100.0,0
198,4.61,4.79,0.0,0.0,69.34,100.0,0
199,4.57,4.5,0.0,0.0,71.25,100.0,0
200,4.61,4.39,0.0,0.0,72.42,100.0,0
201,4.64,4.75,0.0,0.0,69.88,100.0,0
202,4.64,4.75,0.0,0.0,69.88,100.0,0
203,4.57,4.75,0.0,0.0,69.33,100.0,0
204,4.64,5.11,0.0,0.0,67.22,100.0,0
205,4.64,4.72,0.0,0.0,70.1,100.0,0
206,4.68,4.68,0.0,0.0,70.71,100.0,0
207,4.57,4.46,0.0,0.0,71.57,100.0,0
208,4.54,4.32,0.0,0.0,72.44,100.0,0
209,4.61,4.46,0.0,0.0,71.87,100.0,0
210,4.57,4.32,0.0,0.0,72.67,100.0,0
211,4.61,4.32,0.0,0.0,72.97,100.0,0
212,4.54,4.14,0.0,0.0,73.89,100.0,0
213,4.57,4.21,0.0,0.0,73.55,100.0,0
214,4.57,4.43,0.0,0.0,71.8,100.0,0
215,4.57,4.5,0.0,0.0,71.25,100.0,0
216,4.64,4.61,0.0,0.0,70.94,100.0,0
217,4.57,4.36,0.0,0.0,72.35,100.0,0
218,4.61,4.54,0.0,0.0,71.25,100.0,0
219,4.54,4.28,0.0,0.0,72.76,100.0,0
220,4.46,4.18,0.0,0.0,72.96,100.0,0
221,6.12,4.25,0.0,0.0,82.14,100.0,0
222,7.92,4.68,0.0,0.0,86.09,100.0,0
223,9.58,4.36,0.0,0.0,91.02,100.0,0
224,37.01,21.56,0.0,0.02,86.41,100.0,0
225,74.59,35.86,0.0,0.03,90.13,100.0,0
226,109.48,53.32,0.0,0.05,89.9,100.0,0
227,105.08,31.82,0.0,0.05,95.71,100.0,0
228,121.79,41.26,0.0,0.06,94.71,100.0,2
229,114.48,30.24,0.0,0.05,96.68,100.0,2
230,74.2,21.96,0.0,0.03,95.89,100.0,2
231,54.32,7.13,0.04,0.02,99.15,100.0,2
232,75.17,25.06,0.0,0.03,94.87,100.0,1
233,58.07,12.24,0.0,0.03,97.85,100.0,1
234,67.03,15.08,0.0,0.03,97.56,100.0,1
235,74.59,31.64,0.04,0.03,92.06,100.0,1
236,57.56,23.9,0.0,0.03,92.36,100.0,1
237,78.62,48.06,0.0,0.04,85.32,100.0,1
238,69.16,44.17,0.0,0.03,84.28,100.0,1
239,74.05,44.78,0.0,0.03,85.57,100.0,1
240,11.27,0.5,20.45,0.01,99.9,48.27,2
241,8.21,0.0,26.21,0.0,100.0,29.89,2
242,8.14,0.0,25.56,0.0,100.0,30.34,2
243,7.7,0.0,25.74,0.0,100.0,28.66,2
244,51.26,21.38,6.08,0.02,92.29,99.3,2
245,52.7,13.64,0.0,0.02,96.81,100.0,2
246,55.84,17.24,0.0,0.03,95.55,100.0,2
247,57.2,17.32,0.0,0.03,95.71,100.0,2
248,76.57,30.6,0.0,0.04,92.86,100.0,2
249,61.13,20.45,0.0,0.03,94.83,100.0,2
250,66.74,26.42,0.0,0.03,92.98,100.0,2
251,55.8,16.42,0.0,0.03,95.93,100.0,2
252,57.46,18.25,0.0,0.03,95.31,100.0,2
253,71.28,28.08,0.0,0.03,93.04,100.0,2
254,73.15,28.62,0.0,0.03,93.13,100.0,2
255,68.98,25.81,0.0,0.03,93.66,100.0,2
256,85.0,27.79,0.0,0.04,95.05,100.0,2
257,116.53,41.9,0.0,0.05,94.1,100.0,2
258,118.62,39.06,0.0,0.05,94.98,100.0,2
259,105.05,35.64,0.0,0.05,94.7,100.0,2
260,140.51,52.96,0.0,0.06,93.57,100.0,1
261,114.01,41.15,0.0,0.05,94.06,100.0,1
262,125.96,39.2,0.0,0.06,95.48,100.0,1
263,73.62,13.25,1.69,0.03,98.42,99.97,1
264,36.22,12.74,0.54,0.02,94.33,99.99,1
265,39.82,18.43,0.0,0.02,90.75,100.0,1
266,37.08,4.18,1.94,0.02,99.37,99.86,1
267,42.98,5.47,0.18,0.02,99.2,100.0,1
268,37.94,0.86,1.58,0.02,99.97,99.91,1
269,39.71,3.74,0.79,0.02,99.56,99.98,1
270,43.2,5.69,0.18,0.02,99.14,100.0,1
271,37.33,1.19,1.66,0.02,99.95,99.9,1
272,41.0,5.62,0.54,0.02,99.07,99.99,2
273,37.3,2.88,1.22,0.02,99.7,99.95,2
274,32.72,2.02,6.98,0.02,99.81,97.8,2
275,9.83,0.0,23.83,0.0,100.0,38.13,2
276,7.96,0.0,24.8,0.0,100.0,30.56,2
277,5.44,0.0,26.82,0.0,100.0,19.88,2
278,5.11,0.0,26.78,0.0,100.0,18.74,2
279,5.18,0.0,26.78,0.0,100.0,18.99,2
280,4.97,1.91,15.16,0.0,93.34,31.15,1
281,4.75,5.26,0.0,0.0,67.02,100.0,1
282,4.64,5.15,0.0,0.0,66.94,100.0,1
283,4.64,4.97,0.0,0.0,68.24,100.0,1
284,4.72,4.39,0.0,0.0,73.22,100.0,0
285,4.61,4.25,0.0,0.0,73.52,100.0,0
286,4.57,4.43,0.0,0.0,71.8,100.0,0
287,4.57,4.5,0.0,0.0,71.25,100.0,0
288,4.61,4.57,0.0,0.0,71.02,100.0,0
289,4.64,4.57,0.0,0.0,71.25,100.0,0
290,4.64,4.68,0.0,0.0,70.41,100.0,0
291,4.61,4.79,0.0,0.0,69.34,100.0,0
292,4.61,4.64,0.0,0.0,70.48,100.0,0
293,4.61,4.93,0.0,0.0,68.3,100.0,0
294,4.68,4.64,0.0,0.0,71.01,100.0,0
295,4.64,4.79,0.0,0.0,69.58,100.0,0
296,4.61,4.75,0.0,0.0,69.65,100.0,0
297,4.64,4.9,0.0,0.0,68.76,100.0,0
298,4.61,4.9,0.0,0.0,68.52,100.0,0
299,4.68,4.93,0.0,0.0,68.85,100.0,0
300,4.68,5.0,0.0,0.0,68.34,100.0,0
301,4.61,4.86,0.0,0.0,68.82,100.0,0
302,4.61,4.86,0.0,0.0,68.82,100.0,0
303,4.68,5.15,0.0,0.0,67.25,100.0,0
304,4.61,4.72,0.0,0.0,69.87,100.0,0
305,4.64,4.72,0.0,0.0,70.1,100.0,0
306,4.64,4.54,0.0,0.0,71.48,100.0,0
307,4.61,4.64,0.0,0.0,70.48,100.0,0
308,4.61,4.5,0.0,0.0,71.56,100.0,0
309,4.64,4.5,0.0,0.0,71.79,100.0,0
310,4.61,4.39,0.0,0.0,72.42,100.0,0
311,4.61,4.54,0.0,0.0,71.25,100.0,0
312,4.61,4.64,0.0,0.0,70.48,100.0,0
313,4.64,4.82,0.0,0.0,69.35,100.0,0
314,4.57,4.68,0.0,0.0,69.86,100.0,0
315,4.64,4.57,0.0,0.0,71.25,100.0,0
316,4.54,4.61,0.0,0.0,70.17,100.0,0
317,5.36,4.79,0.0,0.0,74.56,100.0,0
318,7.06,4.9,0.0,0.0,82.15,100.0,0
319,7.81,4.68,0.0,0.0,85.78,100.0,0
320,83.23,51.73,0.0,0.04,84.93,100.0,0
321,136.19,74.88,0.0,0.06,87.63,100.0,0
322,108.29,75.82,0.0,0.05,81.92,100.0,0
323,131.18,53.6,0.0,0.06,92.57,100.0,0
324,136.04,56.7,0.0,0.06,92.3,100.0,2
325,128.02,46.22,0.0,0.06,94.06,100.0,2
326,132.84,53.53,0.0,0.06,92.75,100.0,2
327,111.49,39.17,0.0,0.05,94.35,100.0,2
328,124.78,38.95,0.0,0.06,95.46,100.0,1
329,96.66,30.89,0.0,0.04,95.25,100.0,1
330,128.81,41.04,0.0,0.06,95.28,100.0,1
331,78.37,28.94,0.0,0.04,93.81,100.0,1
332,104.8,59.04,0.0,0.05,87.13,100.0,1
333,131.83,61.2,0.0,0.06,90.7,100.0,1
334,113.11,60.19,0.0,0.05,88.28,100.0,1
335,128.05,60.55,0.0,0.06,90.4,100.0,1
336,14.15,3.78,18.79,0.01,96.61,60.16,2
337,7.85,0.0,26.39,0.0,100.0,28.51,2
338,7.02,0.0,26.89,0.0,100.0,25.26,2
339,7.63,0.07,26.46,0.0,100.0,27.71,2
340,78.37,21.24,1.19,0.04,96.52,99.99,2
341,135.43,51.95,0.0,0.06,93.37,100.0,2
342,105.12,33.66,0.0,0.05,95.24,100.0,2
343,120.6,41.4,0.0,0.06,94.58,100.0,2
344,117.97,41.72,0.0,0.05,94.28,100.0,2
345,121.93,43.56,0.0,0.06,94.17,100.0,2
346,121.07,44.35,0.0,0.06,93.9,100.0,2
347,115.42,38.45,0.0,0.05,94.87,100.0,2
348,115.49,41.15,0.0,0.05,94.2,100.0,2
349,101.92,39.06,0.0,0.05,93.38,100.0,2
350,138.06,51.8,0.0,0.06,93.63,100.0,2
351,118.94,49.97,0.0,0.05,92.19,100.0,2
352,144.29,54.94,0.0,0.07,93.45,100.0,2
353,88.27,28.73,0.0,0.04,95.09,100.0,2
354,119.99,38.99,0.0,0.06,95.1,100.0,2
355,97.63,37.26,0.0,0.04,93.43,100.0,2
356,130.61,43.88,0.0,0.06,94.79,100.0,1
357,122.04,51.44,0.0,0.06,92.15,100.0,1
358,43.06,1.94,3.46,0.02,99.9,99.68,1
359,65.38,7.09,2.12,0.03,99.42,99.95,1
360,39.71,16.24,0.54,0.02,92.56,99.99,1
361,51.59,33.34,0.0,0.02,83.99,100.0,1
362,46.4,15.26,0.0,0.02,94.99,100.0,1
363,67.18,28.55,0.0,0.03,92.03,100.0,1
364,53.39,18.0,0.0,0.02,94.76,100.0,1
365,52.74,16.31,0.0,0.02,95.54,100.0,1
366,69.84,38.88,0.0,0.03,87.37,100.0,1
367,51.16,17.93,0.0,0.02,94.37,100.0,1
368,64.58,28.58,0.0,0.03,91.45,100.0,2
369,69.3,39.92,0.0,0.03,86.65,100.0,2
370,46.62,11.99,0.04,0.02,96.85,100.0,2
371,36.22,3.1,2.77,0.02,99.64,99.71,2
372,8.28,0.0,24.08,0.0,100.0,32.52,2
373,6.08,0.0,25.56,0.0,100.0,23.14,2
374,5.26,0.0,25.78,0.0,100.0,19.99,2
375,5.15,0.0,25.85,0.0,100.0,19.54,2
376,5.04,2.16,14.65,0.0,91.91,32.53,1
377,4.82,6.37,0.0,0.0,60.34,100.0,1
378,4.75,6.34,0.0,0.0,59.96,100.0,1
379,4.79,6.01,0.0,0.0,62.33,100.0,1
380,4.64,5.18,0.0,0.0,66.72,100.0,0
381,4.64,4.79,0.0,0.0,69.58,100.0,0
382,4.61,5.04,0.0,0.0,67.49,100.0,0
383,4.64,5.04,0.0,0.0,67.73,100.0,0
384,4.72,5.15,0.0,0.0,67.57,100.0,0
385,4.68,5.22,0.0,0.0,66.75,100.0,0
386,4.68,5.54,0.0,0.0,64.53,100.0,0
387,4.72,5.58,0.0,0.0,64.58,100.0,0
388,4.68,5.36,0.0,0.0,65.77,100.0,0
389,4.68,5.33,0.0,0.0,65.98,100.0,0
390,4.61,4.86,0.0,0.0,68.82,100.0,0
391,4.61,4.68,0.0,0.0,70.18,100.0,0
392,4.64,5.0,0.0,0.0,68.02,100.0,0
393,4.64,4.97,0.0,0.0,68.24,100.0,0
394,4.68,5.22,0.0,0.0,66.75,100.0,0
395,4.64,5.04,0.0,0.0,67.73,100.0,0
396,4.61,5.08,0.0,0.0,67.2,100.0,0
397,4.68,5.04,0.0,0.0,68.05,100.0,0
398,4.61,5.0,0.0,0.0,67.79,100.0,0
399,4.72,5.0,0.0,0.0,68.65,100.0,0
400,4.61,4.68,0.0,0.0,70.18,100.0,0
401,4.61,4.72,0.0,0.0,69.87,100.0,0
402,4.61,4.86,0.0,0.0,68.82,100.0,0
403,4.61,4.82,0.0,0.0,69.12,100.0,0
404,4.68,4.97,0.0,0.0,68.55,100.0,0
405,4.64,4.93,0.0,0.0,68.54,100.0,0
406,4.57,4.79,0.0,0.0,69.03,100.0,0
407,4.64,4.93,0.0,0.0,68.54,100.0,0
408,4.61,4.79,0.0,0.0,69.34,100.0,0
409,4.64,4.82,0.0,0.0,69.35,100.0,0
410,4.61,4.72,0.0,0.0,69.87,100.0,0
411,4.61,4.9,0.0,0.0,68.52,100.0,0
412,4.57,5.08,0.0,0.0,66.88,100.0,0
413,5.33,4.97,0.0,0.0,73.14,100.0,0
414,6.98,5.18,0.0,0.0,80.3,100.0,0
415,7.02,4.97,0.0,0.0,81.62,100.0,0
416,72.14,45.22,0.0,0.03,84.73,100.0,0
417,117.61,66.56,0.0,0.05,87.03,100.0,0
418,98.71,62.35,0.0,0.05,84.55,100.0,0
419,136.48,59.44,0.0,0.06,91.68,100.0,0
420,120.71,36.47,0.0,0.06,95.73,100.0,2
421,94.82,32.76,0.0,0.04,94.52,100.0,2
422,114.7,39.02,0.0,0.05,94.67,100.0,2
423,132.16,45.47,0.0,0.06,94.56,100.0,2
424,77.08,26.35,0.0,0.04,94.62,100.0,1
425,128.56,45.4,0.0,0.06,94.29,100.0,1
426,132.48,46.04,0.0,0.06,94.46,100.0,1
427,114.3,43.81,0.0,0.05,93.38,100.0,1
428,129.85,63.86,0.0,0.06,89.74,100.0,1
429,120.28,65.99,0.0,0.06,87.67,100.0,1
430,130.03,63.79,0.0,0.06,89.78,100.0,1
431,97.88,42.19,0.0,0.04,91.83,100.0,1
432,8.86,0.72,20.2,0.0,99.67,40.17,2
433,7.92,0.0,26.32,0.0,100.0,28.81,2
434,8.32,0.0,25.74,0.0,100.0,30.76,2
435,8.21,0.0,25.81,0.0,100.0,30.31,2
436,50.08,10.12,7.6,0.02,98.02,98.87,2
437,124.63,41.83,0.0,0.06,94.8,100.0,2
438,114.05,36.43,0.0,0.05,95.26,100.0,2
439,69.73,19.37,0.0,0.03,96.35,100.0,2
440,72.58,29.77,0.0,0.03,92.52,100.0,2
441,87.05,36.65,0.0,0.04,92.16,100.0,2
442,132.23,59.04,0.0,0.06,91.31,100.0,2
443,81.72,28.76,0.0,0.04,94.33,100.0,2
444,96.84,36.9,0.0,0.04,93.45,100.0,2
445,129.85,56.52,0.0,0.06,91.69,100.0,2
446,92.95,38.09,0.0,0.04,92.53,100.0,2
447,146.34,66.92,0.0,0.07,90.94,100.0,2
448,98.5,39.02,0.0,0.05,92.97,100.0,2
449,129.67,60.62,0.0,0.06,90.59,100.0,2
450,121.07,44.93,0.0,0.06,93.75,100.0,2
451,69.8,27.79,0.0,0.03,92.91,100.0,2
452,145.69,66.35,0.0,0.07,91.01,100.0,1
453,117.68,51.98,0.0,0.05,91.47,100.0,1
454,41.54,1.8,6.98,0.02,99.91,98.62,1
455,75.06,13.5,3.56,0.03,98.42,99.89,1
456,43.38,18.9,0.61,0.02,91.68,99.99,1
457,68.54,45.68,0.0,0.03,83.21,100.0,1
458,59.8,24.62,0.0,0.03,92.47,100.0,1
459,65.05,27.65,0.0,0.03,92.03,100.0,1
460,67.0,27.72,0.0,0.03,92.4,100.0,1
461,57.28,20.92,0.0,0.03,93.93,100.0,1
462,55.62,19.66,0.0,0.03,94.28,100.0,1
463,51.77,16.34,0.0,0.02,95.36,100.0,1
464,44.17,4.18,0.04,0.02,99.56,100.0,2
465,55.15,11.52,0.07,0.03,97.89,100.0,2
466,38.05,1.4,4.43,0.02,99.93,99.33,2
467,19.51,0.0,17.64,0.01,100.0,74.18,2
468,9.32,0.0,24.05,0.0,100.0,36.13,2
469,4.61,0.0,26.68,0.0,100.0,17.03,2
470,4.54,0.0,26.64,0.0,100.0,16.8,2
471,4.54,0.0,26.6,0.0,100.0,16.82,2
472,4.28,1.44,15.19,0.0,94.78,27.12,1
473,4.1,4.32,0.0,0.0,68.84,100.0,1
474,4.14,4.21,0.0,0.0,70.12,100.0,1
475,4.07,4.07,0.0,0.0,70.71,100.0,1
476,4.03,3.2,0.0,0.0,78.31,100.0,0
477,4.07,3.85,0.0,0.0,72.65,100.0,0
478,4.14,4.39,0.0,0.0,68.61,100.0,0
479,4.14,4.5,0.0,0.0,67.71,100.0,0
480,4.14,4.5,0.0,0.0,67.71,100.0,0
481,4.14,4.82,0.0,0.0,65.16,100.0,0
482,4.1,4.68,0.0,0.0,65.9,100.0,0
483,4.14,4.93,0.0,0.0,64.31,100.0,0
484,4.14,4.64,0.0,0.0,66.58,100.0,0
485,4.18,4.57,0.0,0.0,67.49,100.0,0
486,4.14,5.0,0.0,0.0,63.78,100.0,0
487,4.18,5.36,0.0,0.0,61.5,100.0,0
488,4.18,5.47,0.0,0.0,60.72,100.0,0
489,4.18,5.4,0.0,0.0,61.21,100.0,0
490,4.28,5.58,0.0,0.0,60.86,100.0,0
491,4.21,5.62,0.0,0.0,59.95,100.0,0
492,4.14,5.54,0.0,0.0,59.86,100.0,0
